date,year,week,accum,new,accum-week,last-doy
01/01/2016,2016,53,191,191,630,0
02/01/2016,2016,53,415,224,630,0
03/01/2016,2016,53,630,215,630,0
04/01/2016,2016,1,852,222,1521,0
05/01/2016,2016,1,1082,230,1521,0
06/01/2016,2016,1,1286,204,1521,0
07/01/2016,2016,1,1487,201,1521,0
08/01/2016,2016,1,1706,219,1521,0
09/01/2016,2016,1,1933,227,1521,0
10/01/2016,2016,1,2151,218,1521,1
11/01/2016,2016,2,2370,219,1575,0
12/01/2016,2016,2,2596,226,1575,0
13/01/2016,2016,2,2839,243,1575,0
14/01/2016,2016,2,3053,214,1575,0
15/01/2016,2016,2,3286,233,1575,0
16/01/2016,2016,2,3510,224,1575,0
17/01/2016,2016,2,3726,216,1575,1
18/01/2016,2016,3,3984,258,1674,0
19/01/2016,2016,3,4231,247,1674,0
20/01/2016,2016,3,4484,253,1674,0
21/01/2016,2016,3,4735,251,1674,0
22/01/2016,2016,3,4974,239,1674,0
23/01/2016,2016,3,5188,214,1674,0
24/01/2016,2016,3,5400,212,1674,1
25/01/2016,2016,4,5645,245,1715,0
26/01/2016,2016,4,5888,243,1715,0
27/01/2016,2016,4,6119,231,1715,0
28/01/2016,2016,4,6363,244,1715,0
29/01/2016,2016,4,6605,242,1715,0
30/01/2016,2016,4,6869,264,1715,0
31/01/2016,2016,4,7115,246,1715,1
01/02/2016,2016,5,7356,241,1724,0
02/02/2016,2016,5,7612,256,1724,0
03/02/2016,2016,5,7878,266,1724,0
04/02/2016,2016,5,8161,283,1724,0
05/02/2016,2016,5,8403,242,1724,0
06/02/2016,2016,5,8632,229,1724,0
07/02/2016,2016,5,8839,207,1724,1
08/02/2016,2016,6,9090,251,1726,0
09/02/2016,2016,6,9317,227,1726,0
10/02/2016,2016,6,9551,234,1726,0
11/02/2016,2016,6,9800,249,1726,0
12/02/2016,2016,6,10052,252,1726,0
13/02/2016,2016,6,10306,254,1726,0
14/02/2016,2016,6,10565,259,1726,1
15/02/2016,2016,7,10812,247,1820,0
16/02/2016,2016,7,11094,282,1820,0
17/02/2016,2016,7,11364,270,1820,0
18/02/2016,2016,7,11643,279,1820,0
19/02/2016,2016,7,11876,233,1820,0
20/02/2016,2016,7,12138,262,1820,0
21/02/2016,2016,7,12385,247,1820,1
22/02/2016,2016,8,12642,257,1798,0
23/02/2016,2016,8,12929,287,1798,0
24/02/2016,2016,8,13208,279,1798,0
25/02/2016,2016,8,13434,226,1798,0
26/02/2016,2016,8,13688,254,1798,0
27/02/2016,2016,8,13947,259,1798,0
28/02/2016,2016,8,14183,236,1798,1
29/02/2016,2016,9,14399,216,1606,0
01/03/2016,2016,9,14644,245,1606,0
02/03/2016,2016,9,14896,252,1606,0
03/03/2016,2016,9,15085,189,1606,0
04/03/2016,2016,9,15328,243,1606,0
05/03/2016,2016,9,15568,240,1606,0
06/03/2016,2016,9,15789,221,1606,1
07/03/2016,2016,10,16050,261,1617,0
08/03/2016,2016,10,16285,235,1617,0
09/03/2016,2016,10,16511,226,1617,0
10/03/2016,2016,10,16729,218,1617,0
11/03/2016,2016,10,16937,208,1617,0
12/03/2016,2016,10,17166,229,1617,0
13/03/2016,2016,10,17406,240,1617,1
14/03/2016,2016,11,17676,270,1617,0
15/03/2016,2016,11,17928,252,1617,0
16/03/2016,2016,11,18166,238,1617,0
17/03/2016,2016,11,18397,231,1617,0
18/03/2016,2016,11,18611,214,1617,0
19/03/2016,2016,11,18826,215,1617,0
20/03/2016,2016,11,19023,197,1617,1
21/03/2016,2016,12,19206,183,1377,0
22/03/2016,2016,12,19398,192,1377,0
23/03/2016,2016,12,19615,217,1377,0
24/03/2016,2016,12,19805,190,1377,0
25/03/2016,2016,12,20021,216,1377,0
26/03/2016,2016,12,20228,207,1377,0
27/03/2016,2016,12,20400,172,1377,1
28/03/2016,2016,13,20577,177,1380,0
29/03/2016,2016,13,20792,215,1380,0
30/03/2016,2016,13,20989,197,1380,0
31/03/2016,2016,13,21192,203,1380,0
01/04/2016,2016,13,21397,205,1380,0
02/04/2016,2016,13,21606,209,1380,0
03/04/2016,2016,13,21780,174,1380,1
04/04/2016,2016,14,21991,211,1457,0
05/04/2016,2016,14,22214,223,1457,0
06/04/2016,2016,14,22416,202,1457,0
07/04/2016,2016,14,22657,241,1457,0
08/04/2016,2016,14,22854,197,1457,0
09/04/2016,2016,14,23057,203,1457,0
10/04/2016,2016,14,23237,180,1457,1
11/04/2016,2016,15,23421,184,1387,0
12/04/2016,2016,15,23628,207,1387,0
13/04/2016,2016,15,23839,211,1387,0
14/04/2016,2016,15,24039,200,1387,0
15/04/2016,2016,15,24244,205,1387,0
16/04/2016,2016,15,24422,178,1387,0
17/04/2016,2016,15,24624,202,1387,1
18/04/2016,2016,16,24832,208,1329,0
19/04/2016,2016,16,25023,191,1329,0
20/04/2016,2016,16,25185,162,1329,0
21/04/2016,2016,16,25372,187,1329,0
22/04/2016,2016,16,25573,201,1329,0
23/04/2016,2016,16,25767,194,1329,0
24/04/2016,2016,16,25953,186,1329,1
25/04/2016,2016,17,26142,189,1314,0
26/04/2016,2016,17,26338,196,1314,0
27/04/2016,2016,17,26519,181,1314,0
28/04/2016,2016,17,26695,176,1314,0
29/04/2016,2016,17,26903,208,1314,0
30/04/2016,2016,17,27094,191,1314,0
01/05/2016,2016,17,27267,173,1314,1
02/05/2016,2016,18,27468,201,1376,0
03/05/2016,2016,18,27668,200,1376,0
04/05/2016,2016,18,27865,197,1376,0
05/05/2016,2016,18,28072,207,1376,0
06/05/2016,2016,18,28274,202,1376,0
07/05/2016,2016,18,28470,196,1376,0
08/05/2016,2016,18,28643,173,1376,1
09/05/2016,2016,19,28844,201,1323,0
10/05/2016,2016,19,29013,169,1323,0
11/05/2016,2016,19,29228,215,1323,0
12/05/2016,2016,19,29411,183,1323,0
13/05/2016,2016,19,29597,186,1323,0
14/05/2016,2016,19,29790,193,1323,0
15/05/2016,2016,19,29966,176,1323,1
16/05/2016,2016,20,30158,192,1275,0
17/05/2016,2016,20,30313,155,1275,0
18/05/2016,2016,20,30484,171,1275,0
19/05/2016,2016,20,30669,185,1275,0
20/05/2016,2016,20,30855,186,1275,0
21/05/2016,2016,20,31042,187,1275,0
22/05/2016,2016,20,31241,199,1275,1
23/05/2016,2016,21,31440,199,1335,0
24/05/2016,2016,21,31668,228,1335,0
25/05/2016,2016,21,31870,202,1335,0
26/05/2016,2016,21,32029,159,1335,0
27/05/2016,2016,21,32218,189,1335,0
28/05/2016,2016,21,32406,188,1335,0
29/05/2016,2016,21,32576,170,1335,1
30/05/2016,2016,22,32767,191,1283,0
31/05/2016,2016,22,32954,187,1283,0
01/06/2016,2016,22,33148,194,1283,0
02/06/2016,2016,22,33310,162,1283,0
03/06/2016,2016,22,33493,183,1283,0
04/06/2016,2016,22,33687,194,1283,0
05/06/2016,2016,22,33859,172,1283,1
06/06/2016,2016,23,34032,173,1396,0
07/06/2016,2016,23,34242,210,1396,0
08/06/2016,2016,23,34439,197,1396,0
09/06/2016,2016,23,34616,177,1396,0
10/06/2016,2016,23,34841,225,1396,0
11/06/2016,2016,23,35064,223,1396,0
12/06/2016,2016,23,35255,191,1396,1
13/06/2016,2016,24,35439,184,1301,0
14/06/2016,2016,24,35611,172,1301,0
15/06/2016,2016,24,35832,221,1301,0
16/06/2016,2016,24,36024,192,1301,0
17/06/2016,2016,24,36201,177,1301,0
18/06/2016,2016,24,36378,177,1301,0
19/06/2016,2016,24,36556,178,1301,1
20/06/2016,2016,25,36738,182,1334,0
21/06/2016,2016,25,36926,188,1334,0
22/06/2016,2016,25,37106,180,1334,0
23/06/2016,2016,25,37291,185,1334,0
24/06/2016,2016,25,37482,191,1334,0
25/06/2016,2016,25,37697,215,1334,0
26/06/2016,2016,25,37890,193,1334,1
27/06/2016,2016,26,38086,196,1297,0
28/06/2016,2016,26,38264,178,1297,0
29/06/2016,2016,26,38442,178,1297,0
30/06/2016,2016,26,38642,200,1297,0
01/07/2016,2016,26,38824,182,1297,0
02/07/2016,2016,26,39029,205,1297,0
03/07/2016,2016,26,39187,158,1297,1
04/07/2016,2016,27,39365,178,1376,0
05/07/2016,2016,27,39559,194,1376,0
06/07/2016,2016,27,39783,224,1376,0
07/07/2016,2016,27,39963,180,1376,0
08/07/2016,2016,27,40165,202,1376,0
09/07/2016,2016,27,40354,189,1376,0
10/07/2016,2016,27,40563,209,1376,1
11/07/2016,2016,28,40755,192,1302,0
12/07/2016,2016,28,40955,200,1302,0
13/07/2016,2016,28,41136,181,1302,0
14/07/2016,2016,28,41327,191,1302,0
15/07/2016,2016,28,41509,182,1302,0
16/07/2016,2016,28,41685,176,1302,0
17/07/2016,2016,28,41865,180,1302,1
18/07/2016,2016,29,42059,194,1293,0
19/07/2016,2016,29,42241,182,1293,0
20/07/2016,2016,29,42426,185,1293,0
21/07/2016,2016,29,42613,187,1293,0
22/07/2016,2016,29,42798,185,1293,0
23/07/2016,2016,29,42974,176,1293,0
24/07/2016,2016,29,43158,184,1293,1
25/07/2016,2016,30,43345,187,1322,0
26/07/2016,2016,30,43547,202,1322,0
27/07/2016,2016,30,43738,191,1322,0
28/07/2016,2016,30,43912,174,1322,0
29/07/2016,2016,30,44085,173,1322,0
30/07/2016,2016,30,44302,217,1322,0
31/07/2016,2016,30,44480,178,1322,1
