year,date_def,juzgado,acta
2020,02/05/2020,51,6722
2020,15/05/2020,51,8903
2020,20/04/2020,51,4911
2020,17/04/2020,51,4678
2020,12/05/2020,51,8521
2020,14/04/2020,51,4483
2020,10/02/2020,51,1649
2020,06/04/2020,51,3821
2020,02/05/2020,51,6696
2020,02/01/2020,51,102
2020,12/03/2020,51,2711
2020,06/01/2020,51,314
2020,11/05/2020,51,8392
2020,03/05/2020,51,6958
2020,29/03/2020,51,3361
2020,13/04/2020,51,4325
2020,19/04/2020,51,4829
2020,18/04/2020,51,4716
2020,28/04/2020,51,5928
2020,03/03/2020,51,2320
2020,29/04/2020,51,6118
2020,16/01/2020,51,636
2020,19/04/2020,51,4808
2020,23/02/2020,51,2063
2020,10/04/2020,51,4101
2020,19/02/2020,51,1904
2020,30/01/2020,51,1217
2020,02/05/2020,51,6681
2020,11/05/2020,51,8380
2020,26/01/2020,51,1094
2020,17/04/2020,51,4624
2020,24/01/2020,51,972
2020,04/05/2020,51,7220
2020,13/03/2020,51,2703
2020,10/05/2020,51,8109
2020,22/04/2020,51,5106
2020,30/04/2020,51,6164
2020,07/05/2020,51,7852
2020,08/02/2020,51,1561
2020,11/04/2020,51,4182
2020,12/04/2020,51,4248
2020,24/01/2020,51,945
2020,03/05/2020,51,6969
2020,31/12/2019,51,22
2020,20/04/2020,51,4954
2020,25/04/2020,51,5426
2020,05/04/2020,51,3776
2020,27/04/2020,51,5787
2020,20/04/2020,51,4903
2020,29/02/2020,51,2210
2020,25/03/2020,51,3133
2020,06/05/2020,51,7480
2020,17/03/2020,51,2853
2020,17/03/2020,51,2837
2020,14/05/2020,51,8744
2020,12/03/2020,51,2660
2020,24/01/2020,51,966
2020,29/04/2020,51,6157
2020,13/03/2020,51,2652
2020,29/02/2020,51,2210
2020,28/04/2020,51,5957
2020,30/04/2020,51,6498
2020,02/05/2020,51,6814
2020,02/01/2020,51,115
2020,16/04/2020,51,4531
2020,10/04/2020,51,4172
2020,16/05/2020,51,9117
2020,24/01/2020,51,978
2020,02/05/2020,51,6708
2020,09/05/2020,51,8018
2020,11/05/2020,51,8444
2020,28/04/2020,51,6015
2020,29/04/2020,51,6062
2020,02/02/2020,51,1320
2020,28/04/2020,51,5874
2020,30/03/2020,51,3506
2020,14/01/2020,51,714
2020,30/04/2020,51,6240
2020,24/04/2020,51,5318
2020,24/01/2020,51,947
2020,11/03/2020,51,2619
2020,01/01/2020,51,116
2020,20/01/2020,51,855
2020,22/01/2020,51,921
2020,31/12/2019,51,27
2020,28/02/2020,51,2230
2020,09/05/2020,51,8187
2020,30/03/2020,51,3451
2020,01/01/2020,51,86
2020,28/04/2020,51,5792
2020,07/02/2020,51,1587
2020,28/04/2020,51,5981
2020,26/03/2020,51,3178
2020,07/01/2020,51,347
2020,10/03/2020,51,2540
2020,03/02/2020,51,1400
2020,29/04/2020,51,6165
2020,14/04/2020,51,4403
2020,29/02/2020,51,2210
2020,29/04/2020,51,6343
2020,13/04/2020,51,4366
2020,19/04/2020,51,4798
2020,30/04/2020,51,6424
2020,25/02/2020,51,2110
2020,25/04/2020,51,5517
2020,27/04/2020,51,5687
2020,25/02/2020,51,2102
2020,07/03/2020,51,2462
2020,02/05/2020,51,6696
2020,29/03/2020,51,3343
2020,05/03/2020,51,2375
2020,16/04/2020,51,4536
2020,20/03/2020,51,2904
2020,23/04/2020,51,5288
2020,12/04/2020,51,4332
2020,11/05/2020,51,8333
2020,02/05/2020,51,6683
2020,28/04/2020,51,5875
2020,29/04/2020,51,6143
2020,28/03/2020,51,3314
2020,02/02/2020,51,1325
2020,08/05/2020,51,8913
2020,14/05/2020,51,8945
2020,29/04/2020,51,6206
2020,07/03/2020,51,2462
2020,22/04/2020,51,5146
2020,13/03/2020,51,2684
2020,06/05/2020,51,7679
2020,26/04/2020,51,5613
2020,24/04/2020,51,5298
2020,16/05/2020,51,9170
2020,24/04/2020,51,5319
2020,02/05/2020,51,6741
2020,26/04/2020,51,5676
2020,05/05/2020,51,7493
2020,24/04/2020,51,5334
2020,28/04/2020,51,6017
2020,06/05/2020,51,7524
2020,24/01/2020,51,963
2020,03/05/2020,51,6875
2020,13/02/2020,51,1743
2020,20/02/2020,51,1964
2020,02/05/2020,51,6804
2020,30/04/2020,51,6356
2020,17/05/2020,51,9196
2020,09/05/2020,51,8072
2020,03/01/2020,51,166
2020,01/03/2020,51,2267
2020,29/04/2020,51,6095
2020,02/02/2020,51,1330
2020,08/03/2020,51,2463
2020,10/01/2020,51,439
2020,22/02/2020,51,2056
2020,13/05/2020,51,8643
2020,12/05/2020,51,8554
2020,20/04/2020,51,4893
2020,22/02/2020,51,1990
2020,18/04/2020,51,4768
2020,10/03/2020,51,2549
2020,09/04/2020,51,4037
2020,30/03/2020,51,3378
2020,04/03/2020,51,2370
2020,03/02/2020,51,1396
2020,06/05/2020,51,7610
2020,07/05/2020,51,7769
2020,15/05/2020,51,8901
2020,05/04/2020,51,3861
2020,07/05/2020,51,7681
2020,28/01/2020,51,1133
2020,07/01/2020,51,344
2020,29/02/2020,51,2206
2020,15/05/2020,51,8962
2020,17/03/2020,51,2798
2020,02/03/2020,51,2293
2020,25/04/2020,51,5461
2020,17/04/2020,51,4619
2020,13/05/2020,51,8767
2020,25/03/2020,51,3123
2020,13/05/2020,51,8595
2020,20/04/2020,51,4871
2020,01/04/2020,51,3583
2020,24/04/2020,51,5397
2020,12/03/2020,51,2631
