year,date_def,juzgado,acta
2020,27/01/2020,18,1632
2020,29/01/2020,18,1717
2020,13/01/2020,18,799
2020,12/05/2020,18,7579
2020,16/05/2020,18,7909
2020,22/03/2020,18,4403
2020,26/03/2020,18,4602
2020,08/03/2020,18,3708
2020,09/04/2020,18,5284
2020,23/01/2020,18,1420
2020,19/02/2020,18,2815
2020,25/02/2020,18,3149
2020,08/03/2020,18,3700
2020,16/02/2020,18,2651
2020,17/02/2020,18,2703
2020,03/03/2020,18,3511
2020,29/04/2020,18,6424
2020,23/01/2020,18,1386
2020,18/02/2020,18,2808
2020,12/05/2020,18,7543
2020,10/05/2020,18,7461
2020,03/02/2020,18,2026
2020,14/04/2020,18,5536
2020,08/02/2020,18,2253
2020,20/04/2020,18,5910
2020,21/02/2020,18,3034
2020,09/01/2020,18,564
2020,23/03/2020,18,4414
2020,01/02/2020,18,1885
2020,08/05/2020,18,7276
2020,24/04/2020,18,6143
2020,,18,1941
2020,05/05/2020,18,7033
2020,04/01/2020,18,268
2020,03/03/2020,18,3496
2020,04/05/2020,18,6830
2020,10/01/2020,18,682
2020,01/04/2020,18,4917
2020,30/04/2020,18,6519
2020,30/04/2020,18,6545
2020,23/04/2020,18,6137
2020,09/03/2020,18,3758
2020,07/03/2020,18,3658
2020,08/05/2020,18,7223
2020,23/02/2020,18,3062
2020,29/01/2020,18,1723
2020,07/03/2020,18,3663
2020,20/01/2020,18,1223
2020,14/01/2020,18,864
2020,03/05/2020,18,6791
2020,09/05/2020,18,7291
2020,08/05/2020,18,7293
2020,04/04/2020,18,5040
2020,,18,1965
2020,02/01/2020,18,144
2020,05/05/2020,18,6939
2020,07/03/2020,18,3653
2020,01/05/2020,18,6569
2020,01/02/2020,18,1883
2020,04/01/2020,18,199
2020,10/01/2020,18,634
2020,29/04/2020,18,6487
2020,24/03/2020,18,4526
2020,23/03/2020,18,4418
2020,14/02/2020,18,2509
2020,28/04/2020,18,6316
2020,26/01/2020,18,1609
2020,25/01/2020,18,1509
2020,28/02/2020,18,3256
2020,13/05/2020,18,7630
2020,30/03/2020,18,4791
2020,10/05/2020,18,7458
2020,02/03/2020,18,3463
2020,02/04/2020,18,4931
2020,25/03/2020,18,4555
2020,08/04/2020,18,5235
2020,08/01/2020,18,516
2020,05/03/2020,18,3573
2020,23/02/2020,18,3104
2020,17/03/2020,18,4157
2020,12/04/2020,18,5479
2020,03/05/2020,18,6717
2020,01/05/2020,18,6566
2020,04/04/2020,18,5057
2020,07/03/2020,18,3675
2020,06/02/2020,18,2139
2020,10/03/2020,18,3801
2020,11/02/2020,18,2413
2020,30/04/2020,18,6542
2020,29/04/2020,18,6308
2020,20/03/2020,18,4312
2020,10/01/2020,18,684
2020,18/04/2020,18,5773
2020,01/02/2020,18,1925
2020,08/05/2020,18,7223
2020,11/04/2020,18,5407
2020,02/05/2020,18,6709
2020,19/01/2020,18,1164
2020,24/01/2020,18,1471
2020,30/04/2020,18,6505
