year,date_def,juzgado,acta
2020,01/04/2020,14,9364
2020,23/02/2020,14,5130
2020,20/03/2020,14,7309
2020,05/03/2020,14,6077
2020,13/03/2020,14,6770
2020,15/01/2020,14,1579
2020,08/01/2020,14,843
2020,05/02/2020,14,3543
2020,18/03/2020,14,7115
2020,16/02/2020,14,4562
2020,07/04/2020,14,8974
2020,13/05/2020,14,13971
2020,10/02/2020,14,3993
2020,05/03/2020,14,6131
2020,09/03/2020,14,6393
2020,27/01/2020,14,2735
2020,03/01/2020,14,328
2020,12/03/2020,14,6688
2020,29/01/2020,14,3065
2020,11/01/2020,14,1162
2020,19/03/2020,14,7251
2020,25/02/2020,14,5310
2020,09/04/2020,14,9211
2020,05/05/2020,14,12422
2020,08/05/2020,14,12891
2020,20/01/2020,14,2028
2020,17/02/2020,14,4628
2020,16/01/2020,14,1710
2020,23/03/2020,14,7573
2020,17/01/2020,14,1762
2020,31/01/2020,14,3133
2020,13/01/2020,14,1368
2020,31/12/2019,14,18
2020,08/03/2020,14,6403
2020,21/01/2020,14,2159
2020,27/02/2020,14,5492
2020,15/04/2020,14,9917
2020,31/12/2019,14,87
2020,11/05/2020,14,13434
2020,08/04/2020,14,9172
2020,05/03/2020,14,6100
2020,13/01/2020,14,1348
2020,15/03/2020,14,6953
2020,25/03/2020,14,7774
2020,28/01/2020,14,2817
2020,28/02/2020,14,5549
2020,01/01/2020,14,117
2020,09/05/2020,14,13125
2020,23/03/2020,14,7478
2020,03/04/2020,14,8666
2020,03/05/2020,14,12057
2020,20/01/2020,14,2087
2020,02/03/2020,14,5768
2020,29/04/2020,14,11463
2020,25/04/2020,14,10824
2020,01/05/2020,14,12075
2020,13/05/2020,14,13750
2020,18/01/2020,14,1978
2020,24/01/2020,14,2387
2020,04/02/2020,14,3401
2020,01/02/2020,14,3216
2020,08/03/2020,14,6361
2020,28/01/2020,14,2822
2020,15/02/2020,14,4441
2020,27/04/2020,14,11120
2020,04/01/2020,14,411
2020,21/02/2020,14,4974
2020,24/03/2020,14,7602
2020,04/02/2020,14,3425
2020,17/03/2020,14,7185
2020,02/03/2020,14,6091
2020,12/04/2020,14,9469
