juzgado,month,count
2,1,5
2,2,7
2,3,16
2,4,21
2,5,28
2,6,35
2,7,38
2,8,48
2,9,61
2,10,72
2,11,80
3,1,83
3,2,149
3,3,218
3,4,279
3,5,339
3,6,404
3,7,465
3,8,536
3,9,600
3,10,654
3,11,722
4,1,11
4,2,20
4,3,28
4,4,38
4,5,45
4,6,61
4,7,72
4,8,79
4,9,89
4,10,100
4,11,109
5,1,0
5,2,0
5,3,0
5,4,1
5,5,2
5,6,4
5,7,4
5,8,6
5,9,7
5,10,12
5,11,13
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,1
6,11,1
7,1,34
7,2,54
7,3,77
7,4,112
7,5,141
7,6,169
7,7,206
7,8,246
7,9,265
7,10,300
7,11,321
9,1,6
9,2,12
9,3,19
9,4,21
9,5,28
9,6,37
9,7,46
9,8,52
9,9,59
9,10,64
9,11,74
12,1,1
12,2,1
12,3,1
12,4,2
12,5,2
12,6,2
12,7,2
12,8,2
12,9,2
12,10,2
12,11,2
13,1,167
13,2,292
13,3,398
13,4,519
13,5,628
13,6,732
13,7,860
13,8,1000
13,9,1155
13,10,1274
13,11,1420
14,1,3710
14,2,7500
14,3,9199
14,4,11770
14,5,14453
14,6,16835
14,7,19299
14,8,21842
14,9,24269
14,10,26732
14,11,29343
16,1,75
16,2,150
16,3,212
16,4,272
16,5,338
16,6,393
16,7,462
16,8,508
16,9,570
16,10,626
16,11,686
17,1,7
17,2,8
17,3,9
17,4,9
17,5,10
17,6,12
17,7,13
17,8,14
17,9,17
17,10,21
17,11,25
18,1,1654
18,2,2499
18,3,2499
18,4,5572
18,5,6924
18,6,8156
18,7,9375
18,8,10679
18,9,11883
18,10,13224
18,11,14613
19,1,6
19,2,13
19,3,22
19,4,28
19,5,35
19,6,37
19,7,48
19,8,55
19,9,60
19,10,68
19,11,76
20,1,2
20,2,4
20,3,8
20,4,9
20,5,12
20,6,12
20,7,12
20,8,12
20,9,14
20,10,14
20,11,15
21,1,29
21,2,47
21,3,73
21,4,94
21,5,122
21,6,151
21,7,175
21,8,201
21,9,222
21,10,253
21,11,280
22,1,187
22,2,354
22,3,522
22,4,661
22,5,807
22,6,936
22,7,1083
22,8,1224
22,9,1337
22,10,1494
22,11,1645
23,1,4
23,2,7
